Riot Games Name,Riot Games Tag Line,Summoner Level,Summoner Points,Summoner Wins,Summoner Losses,Is Veteran?,Is Inactive?,Is Fresh Blood?,Is Hot Streak?,Summoner Tier
Victorious,HLG,762,602,122,87,False,False,True,False,Challenger
mikej,VN2,221,703,231,185,False,False,True,False,Challenger
Duy Pingboda,9999,27,704,122,83,False,False,True,False,Challenger
Top1GamingTopTop,6789,1,613,115,81,False,False,True,False,Challenger
kobisao,VN2,380,540,82,45,False,False,True,False,Challenger
Tôn Hiền,VN1,234,889,104,67,False,False,True,False,Challenger
Better version,1708,40,1016,243,204,False,False,True,True,Challenger
ThomasK21700,21700,1,954,137,100,False,False,False,True,Challenger
Vô Ám Giả,1982,2,533,115,85,False,False,True,True,Challenger
HP AnhTu,2413,444,560,119,91,False,False,True,False,Challenger
1211112444444444,111,2,843,192,148,True,False,False,False,Challenger
BAP,2606,75,541,141,107,False,False,False,True,Challenger
rerollkingcamile,VN2,4,686,197,146,False,False,False,False,Challenger
ĐịnhMệnhĐêmVề,VN2,8,1051,221,173,False,False,False,True,Challenger
WASP,1712,262,916,112,62,False,False,False,True,Challenger
Dizzyland,oggyz,142,1279,163,98,True,False,False,False,Challenger
20112001,1995,47,528,144,130,False,False,True,True,Challenger
Just1MoreT1me,0310,17,879,145,111,False,False,True,False,Challenger
Mirius,2002,684,557,146,124,False,False,True,True,Challenger
Long Bến Tre,0910,611,540,188,157,False,False,False,False,Challenger
Bluewhale1,11223,196,695,144,115,False,False,True,True,Challenger
H97,VIP,426,867,212,169,True,False,False,False,Challenger
293,2936,61,622,161,124,False,False,True,False,Challenger
GK A Mạnh Đen,GK20,22,631,210,183,False,False,False,False,Challenger
WrongTimes,Kag1,690,638,138,104,False,False,False,False,Challenger
TFA Chunji ,VN2,363,1018,233,172,True,False,False,True,Challenger
stevetan,2199,315,721,115,56,False,False,True,False,Challenger
nolia Silver,VN2,87,772,222,162,True,False,False,False,Challenger
0093,VN1,115,536,123,76,False,False,True,False,Challenger
Em Linh Tới Chơi,2107,369,518,116,73,False,False,True,False,Challenger
Nhân Phẩm Cộng1,13219,252,557,132,103,False,False,True,True,Challenger
Darlingsz,0512,30,682,139,93,False,False,True,False,Challenger
Zevk3,LOL,7,772,164,125,False,False,False,False,Challenger
drampe,nbs,504,837,136,77,False,False,False,False,Challenger
DucKoi Flexible,MDuc,281,547,119,67,False,False,True,True,Challenger
Ếch xô đi xa,VN2,32,538,91,62,False,False,True,False,Challenger
HLG Dekisugi,20802,125,601,157,123,False,False,False,False,Challenger
ng gã dùng,2510,253,702,94,62,False,False,False,False,Challenger
NG TVD,TVD,69,1002,189,145,False,False,False,False,Challenger
Tần Vấn Thiên,VN2,518,608,222,178,False,False,True,True,Challenger
asduong,1112,348,583,165,123,False,False,True,False,Challenger
1210199612101996,19966,10,724,191,139,False,False,True,True,Challenger
T1 Conal,6868,349,565,150,101,False,False,True,True,Challenger
Nam Cung Uyển,1405,368,566,188,151,False,False,True,False,Challenger
Rebirth,HANM,364,785,284,262,False,False,True,False,Challenger
Bvfyeuem,143,238,546,142,110,False,False,True,True,Challenger
dtcl2610,2610,1,528,79,39,False,False,True,False,Challenger
NG Nhật Khánh,2003,15,537,176,139,False,False,False,False,Challenger
AMFMinhy,VN2,5,609,260,227,False,False,True,False,Challenger
heniss,0612,6,626,88,53,False,False,False,False,Challenger
Sphyrnus,0512,444,615,114,71,False,False,True,True,Challenger
ĐỔI TÊN ĐỔI VẬN1,VN2,188,614,103,65,False,False,True,False,Challenger
Picasso,2001,437,561,121,88,False,False,True,False,Challenger
Alan fanboy,2109,1,528,104,65,False,False,False,False,Challenger
Cam1,4690,343,569,105,72,False,False,True,False,Challenger
congb1nhf,1202,308,534,132,95,False,False,True,True,Challenger
T1 TDuongw,2606,104,613,126,88,False,False,True,False,Challenger
NNG Blade,VN2,318,579,91,60,False,False,True,False,Challenger
TSKMilfhunter,99999,211,1168,261,198,True,False,False,False,Challenger
CảnhDương newday,08100,37,679,126,95,False,False,True,False,Challenger
GD Royal,1704,243,1521,155,81,True,False,False,False,Challenger
Lê Chuyên,2311,459,850,196,135,True,False,False,False,Challenger
Henessy,1994,329,539,238,188,False,False,True,True,Challenger
KaneMely,6976,153,748,231,183,False,False,False,True,Challenger
Lộc Thanh Phương,TN20,8,611,180,146,False,False,True,True,Challenger
1234561234563333,12345,222,518,212,181,False,False,True,False,Challenger
Hoài Mập,VN2,434,515,133,111,False,False,False,False,Challenger
VN ArThurr1,7083,120,548,102,68,False,False,True,True,Challenger
Ng Hà Tây Bay,1112,389,550,130,114,False,False,True,True,Challenger
haquinnnn,666,93,617,135,99,False,False,True,False,Challenger
Thoai,9642,346,544,118,82,False,False,True,False,Challenger
ursuck,1310,3,750,118,78,False,False,True,False,Challenger
NG 1vs3,VN2,206,534,78,48,False,False,True,False,Challenger
Cin Bu Buoi,cinbb,166,895,136,99,False,False,False,True,Challenger
Last Dance,0211,1,890,113,83,False,False,True,False,Challenger
Lý Thất Dạ,777,12,717,103,72,False,False,False,True,Challenger
dragonBpro,7218,37,533,145,121,False,False,True,False,Challenger
Huyee,1999,596,900,229,177,False,False,True,True,Challenger
HNZ Mikeyy,0508,10,693,248,191,True,False,False,False,Challenger
Gumayuuu Nghĩa,VN2,258,555,180,144,False,False,True,False,Challenger
Dan,0811,412,666,107,82,False,False,True,True,Challenger
Hưn,hung,687,857,174,148,False,False,True,False,Challenger
TG QUYEN2K,VN2,11,697,153,123,False,False,True,False,Challenger
Empeureur,TDDN,837,527,162,127,False,False,True,False,Challenger
Đậu Còi,12345,277,587,171,126,False,False,True,False,Challenger
Ngẫn Viết Nhuyên,VN2,986,523,155,116,False,False,True,False,Challenger
Anh iu LanPhương,20021,41,675,206,177,False,False,True,False,Challenger
opken,123,132,1213,126,69,False,False,False,False,Challenger
209199,20919,541,709,297,255,False,False,True,True,Challenger
T1 Suzyy Bae,9287,4,604,185,148,False,False,True,False,Challenger
Vẫn Chưa Có Bồ,UIT,455,830,233,191,False,False,True,False,Challenger
可不可以,2895,61,889,164,132,False,False,False,True,Challenger
doupbleTD,2001,515,649,204,179,False,False,True,False,Challenger
taiyou,VN3,53,531,143,122,False,False,False,False,Challenger
